year,city,country,avg_temp,MA
1796,Bangalore,India,24.49,
1797,Bangalore,India,25.18,
1798,Bangalore,India,24.65,
1799,Bangalore,India,24.81,
1800,Bangalore,India,24.85,24.796
1801,Bangalore,India,24.49,24.796
1802,Bangalore,India,25.44,24.848
1803,Bangalore,India,25.22,24.962
1804,Bangalore,India,25.67,25.134
1805,Bangalore,India,25.01,25.166
1806,Bangalore,India,24.87,25.242
1807,Bangalore,India,24.25,25.004
1808,Bangalore,India,24.853081,24.9306162
1809,Bangalore,India,24.853081,24.7672324
1810,Bangalore,India,24.853081,24.7358486
1811,Bangalore,India,24.853081,24.7324648
1812,Bangalore,India,24.853081,24.853081
1813,Bangalore,India,24.23,24.7284648
1814,Bangalore,India,23.91,24.5398486
1815,Bangalore,India,23.79,24.3272324
1816,Bangalore,India,23.3,24.0166162
1817,Bangalore,India,23.6,23.766
1818,Bangalore,India,23.94,23.708
1819,Bangalore,India,23.86,23.698
1820,Bangalore,India,23.91,23.722
1821,Bangalore,India,24.4,23.942
1822,Bangalore,India,24.33,24.088
1823,Bangalore,India,24.62,24.224
1824,Bangalore,India,25.1,24.472
1825,Bangalore,India,24.69,24.628
1826,Bangalore,India,24.88,24.724
1827,Bangalore,India,24.67,24.792
1828,Bangalore,India,24.61,24.79
1829,Bangalore,India,24.46,24.662
1830,Bangalore,India,24.39,24.602
1831,Bangalore,India,24.43,24.512
1832,Bangalore,India,24.66,24.51
1833,Bangalore,India,24.46,24.48
1834,Bangalore,India,24.59,24.506
1835,Bangalore,India,23.89,24.406
1836,Bangalore,India,24.12,24.344
1837,Bangalore,India,24.13,24.238
1838,Bangalore,India,24.29,24.204
1839,Bangalore,India,24.24,24.134
1840,Bangalore,India,24.24,24.204
1841,Bangalore,India,24.05,24.19
1842,Bangalore,India,24.22,24.208
1843,Bangalore,India,23.99,24.148
1844,Bangalore,India,24.23,24.146
1845,Bangalore,India,24.46,24.19
1846,Bangalore,India,24.9,24.36
1847,Bangalore,India,24.35,24.386
1848,Bangalore,India,24.35,24.458
1849,Bangalore,India,24.32,24.476
1850,Bangalore,India,24.38,24.46
1851,Bangalore,India,24.45,24.37
1852,Bangalore,India,24.43,24.386
1853,Bangalore,India,24.67,24.45
1854,Bangalore,India,24.73,24.532
1855,Bangalore,India,24.75,24.606
1856,Bangalore,India,24.21,24.558
1857,Bangalore,India,23.87,24.446
1858,Bangalore,India,24.59,24.43
1859,Bangalore,India,24.55,24.394
1860,Bangalore,India,24.41,24.326
1861,Bangalore,India,24.21,24.326
1862,Bangalore,India,23.59,24.27
1863,Bangalore,India,24.853081,24.3226162
1864,Bangalore,India,24.853081,24.3832324
1865,Bangalore,India,25.06,24.5132324
1866,Bangalore,India,25,24.6712324
1867,Bangalore,India,24.96,24.9452324
1868,Bangalore,India,25.07,24.9886162
1869,Bangalore,India,24.92,25.002
1870,Bangalore,India,24.42,24.874
1871,Bangalore,India,24.47,24.768
1872,Bangalore,India,24.48,24.672
1873,Bangalore,India,24.51,24.56
1874,Bangalore,India,24.56,24.488
1875,Bangalore,India,24.64,24.532
1876,Bangalore,India,24.84,24.606
1877,Bangalore,India,25.23,24.756
1878,Bangalore,India,25.15,24.884
1879,Bangalore,India,24.39,24.85
1880,Bangalore,India,24.58,24.838
1881,Bangalore,India,24.76,24.822
1882,Bangalore,India,24.33,24.642
1883,Bangalore,India,24.25,24.462
1884,Bangalore,India,24.35,24.454
1885,Bangalore,India,24.62,24.462
1886,Bangalore,India,24.53,24.416
1887,Bangalore,India,24.31,24.412
1888,Bangalore,India,24.63,24.488
1889,Bangalore,India,24.73,24.564
1890,Bangalore,India,24.46,24.532
1891,Bangalore,India,24.95,24.616
1892,Bangalore,India,24.59,24.672
1893,Bangalore,India,24.38,24.622
1894,Bangalore,India,24.75,24.626
1895,Bangalore,India,24.78,24.69
1896,Bangalore,India,25.12,24.724
1897,Bangalore,India,25.3,24.866
1898,Bangalore,India,24.87,24.964
1899,Bangalore,India,24.74,24.962
1900,Bangalore,India,25.44,25.094
1901,Bangalore,India,25.09,25.088
1902,Bangalore,India,25.06,25.04
1903,Bangalore,India,24.82,25.03
1904,Bangalore,India,24.53,24.988
1905,Bangalore,India,24.92,24.884
1906,Bangalore,India,25.09,24.884
1907,Bangalore,India,24.74,24.82
1908,Bangalore,India,24.66,24.788
1909,Bangalore,India,24.61,24.804
1910,Bangalore,India,24.42,24.704
1911,Bangalore,India,24.76,24.638
1912,Bangalore,India,25,24.69
1913,Bangalore,India,25,24.758
1914,Bangalore,India,25.02,24.84
1915,Bangalore,India,25.22,25
1916,Bangalore,India,24.75,24.998
1917,Bangalore,India,24.46,24.89
1918,Bangalore,India,24.74,24.838
1919,Bangalore,India,25.06,24.846
1920,Bangalore,India,24.99,24.8
1921,Bangalore,India,24.88,24.826
1922,Bangalore,India,24.74,24.882
1923,Bangalore,India,24.84,24.902
1924,Bangalore,India,24.89,24.868
1925,Bangalore,India,24.69,24.808
1926,Bangalore,India,25.14,24.86
1927,Bangalore,India,25.06,24.924
1928,Bangalore,India,25.06,24.968
1929,Bangalore,India,24.87,24.964
1930,Bangalore,India,24.86,24.998
1931,Bangalore,India,25.24,25.018
1932,Bangalore,India,24.68,24.942
1933,Bangalore,India,24.61,24.852
1934,Bangalore,India,24.81,24.84
1935,Bangalore,India,24.93,24.854
1936,Bangalore,India,24.99,24.804
1937,Bangalore,India,24.96,24.86
1938,Bangalore,India,24.91,24.92
1939,Bangalore,India,24.84,24.926
1940,Bangalore,India,24.92,24.924
1941,Bangalore,India,25.55,25.036
1942,Bangalore,India,25.23,25.09
1943,Bangalore,India,24.69,25.046
1944,Bangalore,India,24.92,25.062
1945,Bangalore,India,25.05,25.088
1946,Bangalore,India,24.97,24.972
1947,Bangalore,India,25.02,24.93
1948,Bangalore,India,25.21,25.034
1949,Bangalore,India,24.92,25.034
1950,Bangalore,India,24.85,24.994
1951,Bangalore,India,25.03,25.006
1952,Bangalore,India,25.12,25.026
1953,Bangalore,India,25.18,25.02
1954,Bangalore,India,24.92,25.02
1955,Bangalore,India,24.78,25.006
1956,Bangalore,India,24.73,24.946
1957,Bangalore,India,25.11,24.944
1958,Bangalore,India,25.29,24.966
1959,Bangalore,India,25.24,25.03
1960,Bangalore,India,25.07,25.088
1961,Bangalore,India,24.97,25.136
1962,Bangalore,India,24.9,25.094
1963,Bangalore,India,25.04,25.044
1964,Bangalore,India,25.09,25.014
1965,Bangalore,India,25.04,25.008
1966,Bangalore,India,25.32,25.078
1967,Bangalore,India,24.87,25.072
1968,Bangalore,India,25,25.064
1969,Bangalore,India,25.36,25.118
1970,Bangalore,India,24.95,25.1
1971,Bangalore,India,24.74,24.984
1972,Bangalore,India,25.22,25.054
1973,Bangalore,India,25.4,25.134
1974,Bangalore,India,24.94,25.05
1975,Bangalore,India,24.86,25.032
1976,Bangalore,India,25.13,25.11
1977,Bangalore,India,25.2,25.106
1978,Bangalore,India,25.07,25.04
1979,Bangalore,India,25.44,25.14
1980,Bangalore,India,25.45,25.258
1981,Bangalore,India,25.17,25.266
1982,Bangalore,India,25.42,25.31
1983,Bangalore,India,25.59,25.414
1984,Bangalore,India,25.08,25.342
1985,Bangalore,India,25.31,25.314
1986,Bangalore,India,25.51,25.382
1987,Bangalore,India,25.81,25.46
1988,Bangalore,India,25.5,25.442
1989,Bangalore,India,25.2,25.466
1990,Bangalore,India,25.25,25.454
1991,Bangalore,India,25.49,25.45
1992,Bangalore,India,25.16,25.32
1993,Bangalore,India,25.22,25.264
1994,Bangalore,India,25.22,25.268
1995,Bangalore,India,25.44,25.306
1996,Bangalore,India,25.41,25.29
1997,Bangalore,India,25.68,25.394
1998,Bangalore,India,26.01,25.552
1999,Bangalore,India,25.29,25.566
2000,Bangalore,India,25.34,25.546
2001,Bangalore,India,25.53,25.57
2002,Bangalore,India,25.76,25.586
2003,Bangalore,India,25.92,25.568
2004,Bangalore,India,25.25,25.56
2005,Bangalore,India,25.48,25.588
2006,Bangalore,India,25.42,25.566
2007,Bangalore,India,25.46,25.506
2008,Bangalore,India,25.35,25.392
2009,Bangalore,India,25.73,25.488
2010,Bangalore,India,25.71,25.534
2011,Bangalore,India,25.36,25.522
2012,Bangalore,India,26.04,25.638
2013,Bangalore,India,26.61,25.89
